Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Silver,Benzine,130000,1600,Manual,150.0,Alexandria,12
Hyundai,Accent,Sedan,White,Benzine,15000,1500,Automatic,70.0,Cairo,26
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1600,Automatic,185.0,Cairo,12
Hyundai,Accent,Sedan,Gray,Benzine,15000,1600,Automatic,335.0,Cairo,0
Hyundai,Accent,Sedan,Red,Benzine,95000,1600,Automatic,193.0,Qalyubia,10
Hyundai,Accent,Sedan,Yellow,Benzine,200000,1500,Manual,58.0,Cairo,23
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1500,Manual,78.0,Giza,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15000,1500,Manual,65.0,Cairo,24
Hyundai,Accent,Sedan,Gold,Benzine,170000,1600,Manual,65.0,Cairo,23
Hyundai,Accent,Sedan,Gray,Benzine,25000,1600,Manual,185.0,Giza,10
Hyundai,Accent,Sedan,Silver,Benzine,200000,1600,Automatic,170.0,Giza,10
Hyundai,Accent,Sedan,Red,Benzine,110000,1600,Automatic,205.0,Gharbia,7
Hyundai,Accent,Sedan,Silver,Benzine,5000,1600,Manual,170.0,Cairo,10
Hyundai,Accent,Sedan,Black,Benzine,110000,1500,Automatic,220.0,Alexandria,5
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1500,Manual,7.0,Fayoum,22
Hyundai,Accent,Sedan,Gold,Benzine,190000,1600,Manual,132.0,Gharbia,11
Hyundai,Accent,Sedan,Gray,Benzine,15000,1600,Manual,85.0,Kafr al-Sheikh,17
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Manual,68.0,Minya,27
Hyundai,Accent,Sedan,Silver,Benzine,200000,1600,Automatic,195.0,Sharqia,10
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,130000,1500,Automatic,158.0,Alexandria,12
Hyundai,Accent,Sedan,Red,Benzine,130000,1600,Manual,130.0,Cairo,10
Hyundai,Accent,Sedan,Black,Benzine,110000,1500,Manual,120.0,Alexandria,12
Hyundai,Accent,Sedan,Gray,Benzine,200000,1600,Manual,150.0,Qena,11
Hyundai,Accent,Sedan,Gray,Benzine,150000,1600,Automatic,240.0,Giza,4
Hyundai,Accent,Sedan,Other Color,Benzine,170000,1600,Automatic,155.0,Alexandria,11
Hyundai,Accent,Sedan,Red,Benzine,200000,1600,Automatic,167.0,Sharqia,11
Hyundai,Accent,Sedan,Yellow,Benzine,5000,1500,Manual,67.0,Beheira,23
Hyundai,Accent,Sedan,Gold,Natural Gas,35000,1500,Manual,75.0,Ismailia,21
Hyundai,Accent,Sedan,Brown,Benzine,170000,1600,Automatic,225.0,Cairo,7
Hyundai,Accent,Sedan,Silver,Benzine,15000,1600,Manual,135.0,Cairo,12
Hyundai,Accent,Sedan,Other Color,Benzine,170000,1600,Manual,135.0,Cairo,11
Hyundai,Accent,Sedan,Gold,Benzine,130000,1600,Manual,145.0,Sharqia,12
Hyundai,Accent,Sedan,Gold,Benzine,190000,1500,Automatic,72.0,Cairo,24
Hyundai,Accent,Sedan,Gold,Benzine,25000,1500,Manual,65.0,Giza,23
Hyundai,Accent,Sedan,Black,Benzine,200000,1600,Automatic,144.5,Cairo,14
Hyundai,Accent,Sedan,Silver,Benzine,95000,1600,Automatic,215.0,Beni Suef,4
Hyundai,Accent,Sedan,Burgundy,Benzine,200000,1500,Manual,77.0,Giza,16
Hyundai,Accent,Sedan,Gray,Benzine,130000,1500,Automatic,239.0,Giza,6
Hyundai,Accent,Sedan,Burgundy,Benzine,200000,1600,Manual,128.0,Cairo,12
Hyundai,Accent,Sedan,Gold,Benzine,130000,1500,Manual,60.0,Cairo,23
Hyundai,Accent,Sedan,Burgundy,Benzine,15000,1600,Automatic,177.0,Giza,10
Hyundai,Accent,Sedan,Silver,Benzine,25000,1500,Manual,70.0,Dakahlia,21
Hyundai,Accent,Sedan,Other Color,Benzine,95000,1600,Automatic,148.0,Cairo,14
Hyundai,Accent,Sedan,Gold,Benzine,200000,1500,Manual,52.0,Cairo,22
Hyundai,Accent,Sedan,Burgundy,Benzine,110000,1600,Automatic,168.0,Monufia,13
Hyundai,Accent,Sedan,Other Color,Benzine,95000,1500,Automatic,195.0,Cairo,10
Hyundai,Accent,Sedan,Gold,Benzine,200000,1500,Manual,68.0,Suez,16
Hyundai,Accent,Sedan,Gray,Benzine,130000,1600,Automatic,161.4,Cairo,6
Hyundai,Accent,Sedan,Black,Benzine,150000,1500,Automatic,158.0,Cairo,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,200000,1500,Manual,55.0,Giza,15
Hyundai,Accent,Sedan,White,Benzine,190000,1500,Manual,50.0,Giza,22
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Automatic,68.0,Giza,23
Hyundai,Accent,Sedan,Gray,Benzine,35000,1600,Automatic,310.0,Cairo,0
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,60.0,Cairo,21
Hyundai,Accent,Sedan,Gray,Benzine,75000,1500,Manual,65.0,Cairo,22
Hyundai,Accent,Sedan,Gold,Benzine,15000,1500,Manual,60.0,Kafr al-Sheikh,18
Hyundai,Accent,Sedan,Silver,Benzine,95000,1600,Automatic,149.0,New Valley,12
Hyundai,Accent,Sedan,Other Color,Benzine,25000,1600,Automatic,165.0,Gharbia,11
Hyundai,Accent,Sedan,White,Benzine,95000,1600,Automatic,228.0,Cairo,7
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1600,Automatic,140.0,Beheira,10
